Date,Open,High,Low,Close,Volume
2010-01-03,1.4301,1.4337,1.4257,1.429,0
2010-01-04,1.4289,1.4456,1.4269,1.4427,0
2010-01-05,1.4426,1.4483,1.4334,1.4355,0
2010-01-06,1.4356,1.4447,1.4283,1.44,0
2010-01-07,1.4399,1.4404,1.4299,1.4313,0
2010-01-08,1.4314,1.4439,1.4263,1.4409,0
2010-01-10,1.4428,1.4533,1.4408,1.4498,0
2010-01-11,1.4499,1.4556,1.4453,1.4483,0
2010-01-12,1.4484,1.4546,1.4456,1.4489,0
2010-01-13,1.4488,1.4579,1.4463,1.4533,0
2010-01-14,1.4532,1.4555,1.4406,1.4418,0
2010-01-15,1.4417,1.4445,1.4337,1.4386,0
2010-01-17,1.4353,1.4378,1.4335,1.4374,0
2010-01-18,1.4375,1.4414,1.4365,1.4394,0
2010-01-19,1.4393,1.4411,1.419,1.4212,0
2010-01-20,1.4211,1.422,1.4067,1.4096,0
2010-01-21,1.4095,1.4143,1.403,1.4123,0
2010-01-22,1.4124,1.4182,1.4086,1.4138,0
2010-01-24,1.4156,1.4174,1.4134,1.4167,0
2010-01-25,1.4168,1.4194,1.4088,1.4092,0
2010-01-26,1.4091,1.4111,1.4042,1.4076,0
2010-01-27,1.4075,1.4087,1.394,1.4013,0
2010-01-28,1.4012,1.4051,1.3912,1.393,0
2010-01-29,1.3931,1.3987,1.3862,1.3862,0
2010-01-31,1.3866,1.3887,1.3852,1.3881,0
2010-02-01,1.388,1.3938,1.3873,1.3916,0
2010-02-02,1.3915,1.3976,1.3902,1.3955,0
2010-02-03,1.3956,1.4025,1.3866,1.3889,0
2010-02-04,1.3888,1.3896,1.3669,1.3711,0
2010-02-05,1.3712,1.3742,1.3585,1.3678,0
2010-02-07,1.3658,1.3667,1.3621,1.3646,0
2010-02-08,1.3645,1.3713,1.3622,1.3692,0
2010-02-09,1.3693,1.3839,1.3689,1.3754,0
2010-02-10,1.3753,1.3812,1.3677,1.3792,0
2010-02-11,1.3791,1.3801,1.3595,1.3669,0
2010-02-12,1.367,1.3686,1.3531,1.3631,0
2010-02-14,1.3625,1.3631,1.3605,1.3609,0
2010-02-15,1.361,1.3649,1.3579,1.3643,0
2010-02-16,1.3644,1.3782,1.3634,1.3779,0
2010-02-17,1.3778,1.3788,1.3557,1.3568,0
2010-02-18,1.3569,1.3654,1.3442,1.3481,0
2010-02-19,1.3482,1.3617,1.3455,1.3613,0
2010-02-21,1.3636,1.3653,1.3601,1.3637,0
2010-02-22,1.3638,1.364,1.3574,1.3625,0
2010-02-23,1.3624,1.3691,1.3496,1.3539,0
2010-02-24,1.3538,1.3625,1.345,1.3471,0
2010-02-25,1.347,1.3603,1.3456,1.3584,0
2010-02-26,1.3585,1.3682,1.3549,1.363,0
2010-02-28,1.3623,1.3649,1.359,1.3604,0
2010-03-01,1.3603,1.3652,1.3459,1.3533,0
2010-03-02,1.3532,1.3652,1.3436,1.3636,0
2010-03-03,1.3637,1.3735,1.3591,1.3681,0
2010-03-04,1.368,1.3693,1.355,1.359,0
2010-03-05,1.3589,1.3629,1.3529,1.362,0
2010-03-07,1.363,1.369,1.3624,1.3677,0
2010-03-08,1.3678,1.3702,1.3604,1.3618,0
2010-03-09,1.3619,1.3627,1.3536,1.3599,0
2010-03-10,1.3598,1.3678,1.3543,1.364,0
2010-03-11,1.3641,1.3695,1.362,1.3691,0
2010-03-12,1.3692,1.3795,1.3685,1.3767,0
2010-03-14,1.3776,1.3777,1.3725,1.3732,0
2010-03-15,1.3733,1.376,1.3639,1.3692,0
2010-03-16,1.3691,1.3785,1.3655,1.378,0
2010-03-17,1.3779,1.3817,1.371,1.3717,0
2010-03-18,1.3716,1.3728,1.3585,1.3625,0
2010-03-19,1.3624,1.3626,1.3502,1.3528,0
2010-03-21,1.3536,1.3537,1.3505,1.3513,0
2010-03-22,1.3512,1.3568,1.3462,1.3558,0
2010-03-23,1.3557,1.3562,1.3445,1.3454,0
2010-03-24,1.3455,1.3464,1.3304,1.3334,0
2010-03-25,1.3333,1.3386,1.3266,1.3332,0
2010-03-26,1.3333,1.3424,1.3324,1.3408,0
2010-03-28,1.347,1.3492,1.3418,1.344,0
2010-03-29,1.3441,1.3506,1.3422,1.3487,0
2010-03-30,1.3488,1.3536,1.3391,1.3396,0
2010-03-31,1.3395,1.356,1.3383,1.3507,0
2010-04-01,1.3508,1.359,1.3459,1.3567,0
2010-04-02,1.3566,1.3581,1.3474,1.3503,0
2010-04-04,1.3496,1.3537,1.348,1.3521,0
2010-04-05,1.3522,1.3527,1.342,1.3427,0
2010-04-06,1.3426,1.3437,1.3354,1.3389,0
2010-04-07,1.3388,1.3401,1.3312,1.3329,0
2010-04-08,1.3328,1.3383,1.3281,1.3361,0
2010-04-09,1.336,1.3498,1.3341,1.3497,0
2010-04-11,1.366,1.3676,1.3607,1.3654,0
2010-04-12,1.3655,1.3691,1.3565,1.3573,0
2010-04-13,1.3574,1.3664,1.3544,1.366,0
2010-04-14,1.3659,1.3678,1.3593,1.3649,0
2010-04-15,1.3648,1.3649,1.352,1.3541,0
2010-04-16,1.3542,1.3562,1.3471,1.35,0
2010-04-18,1.3467,1.3497,1.3445,1.3462,0
2010-04-19,1.3461,1.35,1.3415,1.3477,0
2010-04-20,1.3478,1.3521,1.3404,1.3417,0
2010-04-21,1.3416,1.3446,1.3357,1.3387,0
2010-04-22,1.3388,1.342,1.3201,1.3224,0
2010-04-23,1.3223,1.3399,1.3218,1.3384,0
2010-04-25,1.3347,1.3396,1.3333,1.3369,0
2010-04-26,1.337,1.3415,1.329,1.338,0
2010-04-27,1.3379,1.3385,1.3143,1.3215,0
2010-04-28,1.3214,1.3265,1.3113,1.3213,0
2010-04-29,1.3212,1.3278,1.3192,1.3252,0
2010-04-30,1.3251,1.3341,1.3235,1.3292,0
2010-05-02,1.3358,1.3359,1.3208,1.3214,0
2010-05-03,1.3215,1.3252,1.3153,1.3201,0
2010-05-04,1.32,1.3208,1.2936,1.2957,0
2010-05-05,1.2958,1.2995,1.2788,1.2844,0
2010-05-06,1.2843,1.2843,1.2518,1.2705,0
2010-05-07,1.2706,1.2797,1.2608,1.2751,0
2010-05-09,1.2918,1.2967,1.2806,1.2945,0
2010-05-10,1.2944,1.3092,1.2722,1.2746,0
2010-05-11,1.2745,1.2758,1.2615,1.2634,0
2010-05-12,1.2635,1.2737,1.2604,1.2647,0
2010-05-13,1.2646,1.2683,1.2515,1.2535,0
2010-05-14,1.2534,1.2575,1.2353,1.2357,0
2010-05-16,1.2341,1.2371,1.2233,1.2266,0
2010-05-17,1.2265,1.2413,1.2254,1.2334,0
2010-05-18,1.2333,1.2443,1.2143,1.2191,0
2010-05-19,1.2192,1.2432,1.2154,1.2362,0
2010-05-20,1.2361,1.2597,1.2296,1.2594,0
2010-05-21,1.2593,1.2671,1.247,1.2571,0
2010-05-23,1.2537,1.2562,1.248,1.25,0
2010-05-24,1.2499,1.2524,1.2282,1.2292,0
2010-05-25,1.2291,1.2387,1.2177,1.2295,0
2010-05-26,1.2296,1.2344,1.2153,1.2224,0
2010-05-27,1.2225,1.2393,1.2202,1.2299,0
2010-05-28,1.2298,1.2452,1.2264,1.2271,0
2010-05-30,1.2265,1.233,1.226,1.2318,0
2010-05-31,1.2317,1.2333,1.2244,1.2255,0
2010-06-01,1.2254,1.2352,1.211,1.2211,0
2010-06-02,1.2212,1.2306,1.2174,1.2291,0
2010-06-03,1.2292,1.2326,1.2151,1.2177,0
2010-06-04,1.2178,1.2214,1.1954,1.1966,0
2010-06-06,1.1928,1.1965,1.1875,1.1895,0
2010-06-07,1.1896,1.199,1.189,1.1968,0
2010-06-08,1.1969,1.2008,1.1901,1.1948,0
2010-06-09,1.1947,1.2072,1.1923,1.2032,0
2010-06-10,1.2033,1.2147,1.2007,1.21,0
2010-06-11,1.2099,1.2151,1.2044,1.2111,0
2010-06-13,1.2128,1.2207,1.2115,1.2181,0
2010-06-14,1.218,1.2297,1.2162,1.2219,0
2010-06-15,1.2218,1.2348,1.2167,1.2317,0
2010-06-16,1.2316,1.2352,1.2254,1.2272,0
2010-06-17,1.2271,1.2412,1.2241,1.2404,0
2010-06-18,1.2403,1.2415,1.2352,1.2386,0
2010-06-20,1.2451,1.2467,1.2367,1.2413,0
2010-06-21,1.2414,1.2466,1.2283,1.2303,0
2010-06-22,1.2302,1.2327,1.2244,1.2262,0
2010-06-23,1.2261,1.2351,1.2208,1.2345,0
2010-06-24,1.2346,1.2387,1.226,1.232,0
2010-06-25,1.2321,1.2394,1.2253,1.2367,0
2010-06-27,1.2373,1.2396,1.2368,1.2382,0
2010-06-28,1.2381,1.2385,1.2257,1.2264,0
2010-06-29,1.2265,1.2271,1.215,1.2212,0
2010-06-30,1.2211,1.2303,1.2192,1.2203,0
2010-07-01,1.2204,1.2539,1.2195,1.2513,0
2010-07-02,1.2512,1.261,1.2481,1.2565,0
2010-07-04,1.2561,1.2564,1.2521,1.2538,0
2010-07-05,1.2539,1.2557,1.2479,1.2534,0
2010-07-06,1.2535,1.2661,1.2517,1.259,0
2010-07-07,1.2591,1.2687,1.2552,1.2652,0
2010-07-08,1.2651,1.2711,1.2633,1.2685,0
2010-07-09,1.2687,1.2728,1.2608,1.2639,0
2010-07-11,1.2636,1.2646,1.2586,1.2597,0
2010-07-12,1.2598,1.2612,1.255,1.259,0
2010-07-13,1.2589,1.2737,1.2522,1.2717,0
2010-07-14,1.2716,1.2777,1.2682,1.2752,0
2010-07-15,1.2753,1.2954,1.2716,1.2912,0
2010-07-16,1.2911,1.3006,1.2888,1.2929,0
2010-07-18,1.2905,1.292,1.2882,1.2902,0
2010-07-19,1.2903,1.2991,1.2869,1.2961,0
2010-07-20,1.2962,1.3027,1.2838,1.2881,0
2010-07-21,1.288,1.2912,1.2731,1.2771,0
2010-07-22,1.277,1.2932,1.274,1.2886,0
2010-07-23,1.2885,1.2964,1.2792,1.2908,0
2010-07-25,1.289,1.2943,1.2876,1.2929,0
2010-07-26,1.2928,1.3016,1.2888,1.3008,0
2010-07-27,1.3007,1.3045,1.2951,1.2994,0
