Date,Open,High,Low,Close,Volume
2008-01-01,1.4621,1.4637,1.4597,1.4637,0
2008-01-02,1.4637,1.4752,1.4635,1.4712,0
2008-01-03,1.4713,1.4784,1.4689,1.4744,0
2008-01-04,1.4745,1.4827,1.4696,1.4745,0
2008-01-06,1.4749,1.4758,1.4698,1.4722,0
2008-01-07,1.4723,1.4737,1.4661,1.4698,0
2008-01-08,1.4697,1.4742,1.4695,1.4721,0
2008-01-09,1.472,1.4743,1.4642,1.4683,0
2008-01-10,1.4684,1.4817,1.4644,1.4814,0
2008-01-11,1.4815,1.4822,1.4764,1.4777,0
2008-01-13,1.4784,1.482,1.4784,1.482,0
2008-01-14,1.4821,1.4916,1.4813,1.4875,0
2008-01-15,1.4874,1.4924,1.4778,1.4836,0
2008-01-16,1.4835,1.4854,1.4598,1.4657,0
2008-01-17,1.4658,1.4716,1.4591,1.4648,0
2008-01-18,1.4646,1.4696,1.4604,1.4624,0
2008-01-20,1.4605,1.4606,1.4533,1.4535,0
2008-01-21,1.4536,1.4563,1.4391,1.4417,0
2008-01-22,1.4416,1.4685,1.4367,1.463,0
2008-01-23,1.4631,1.4646,1.4513,1.462,0
2008-01-24,1.4619,1.4782,1.4592,1.4754,0
2008-01-25,1.4755,1.4776,1.4664,1.4683,0
2008-01-27,1.4681,1.471,1.4666,1.4675,0
2008-01-28,1.4676,1.48,1.4664,1.4771,0
2008-01-29,1.4772,1.4789,1.474,1.4766,0
2008-01-30,1.4767,1.4907,1.4757,1.4842,0
2008-01-31,1.4841,1.4915,1.4806,1.4867,0
2008-02-01,1.4866,1.495,1.4786,1.4805,0
2008-02-03,1.4807,1.4825,1.4795,1.4815,0
2008-02-04,1.4816,1.485,1.48,1.4817,0
2008-02-05,1.4818,1.4824,1.4625,1.4645,0
2008-02-06,1.4646,1.4671,1.4593,1.4618,0
2008-02-07,1.4619,1.4652,1.4439,1.4486,0
2008-02-08,1.4485,1.4547,1.4451,1.4512,0
2008-02-10,1.4518,1.4548,1.4513,1.4542,0
2008-02-11,1.4541,1.4578,1.4482,1.4515,0
2008-02-12,1.4512,1.4617,1.4499,1.4577,0
2008-02-13,1.4576,1.4599,1.4534,1.457,0
2008-02-14,1.4569,1.4651,1.4562,1.4639,0
2008-02-15,1.464,1.471,1.4638,1.4684,0
2008-02-17,1.468,1.4689,1.4667,1.4688,0
2008-02-18,1.4687,1.4693,1.4611,1.4663,0
2008-02-19,1.4664,1.476,1.4662,1.4721,0
2008-02-20,1.472,1.4735,1.4617,1.4717,0
2008-02-21,1.4718,1.4839,1.4704,1.4805,0
2008-02-22,1.4806,1.4863,1.4795,1.4828,0
2008-02-24,1.4841,1.4842,1.4814,1.4815,0
2008-02-25,1.4816,1.4845,1.4796,1.4829,0
2008-02-26,1.4828,1.505,1.4781,1.4997,0
2008-02-27,1.4996,1.5147,1.4994,1.5114,0
2008-02-28,1.5113,1.5233,1.5076,1.518,0
2008-02-29,1.5179,1.5241,1.5147,1.5181,0
2008-03-02,1.52,1.5227,1.5187,1.5206,0
2008-03-03,1.5205,1.5276,1.516,1.5184,0
2008-03-04,1.5183,1.525,1.5174,1.5195,0
2008-03-05,1.5196,1.5305,1.5148,1.5279,0
2008-03-06,1.528,1.5398,1.5278,1.5383,0
2008-03-07,1.5382,1.5463,1.5315,1.5356,0
2008-03-09,1.5364,1.5407,1.5358,1.5385,0
2008-03-10,1.5386,1.5403,1.5316,1.5365,0
2008-03-11,1.5364,1.5498,1.5285,1.5362,0
2008-03-12,1.5363,1.5589,1.5354,1.5568,0
2008-03-13,1.5567,1.5646,1.5536,1.5601,0
2008-03-14,1.5602,1.5692,1.5535,1.5674,0
2008-03-16,1.5678,1.5906,1.5678,1.5845,0
2008-03-17,1.5844,1.5859,1.5686,1.5787,0
2008-03-18,1.5788,1.5834,1.5614,1.5687,0
2008-03-19,1.5686,1.5786,1.5569,1.56,0
2008-03-20,1.5601,1.5611,1.5397,1.542,0
2008-03-21,1.5419,1.5474,1.5418,1.5433,0
2008-03-23,1.5441,1.5441,1.5344,1.5351,0
2008-03-24,1.5352,1.5572,1.535,1.5558,0
2008-03-25,1.5557,1.5661,1.5528,1.5634,0
2008-03-26,1.5635,1.5861,1.5585,1.5816,0
2008-03-27,1.5815,1.5829,1.5728,1.5796,0
2008-03-28,1.5797,1.5839,1.5743,1.5798,0
2008-03-30,1.5803,1.5818,1.5761,1.5802,0
2008-03-31,1.5803,1.5897,1.575,1.5777,0
2008-04-01,1.5778,1.5783,1.5566,1.5602,0
