Date,Open,High,Low,Close,Volume
2009-01-01,1.4005,1.403,1.3861,1.387,0
2009-01-02,1.3866,1.3988,1.3842,1.3923,0
2009-01-04,1.391,1.3965,1.3844,1.3885,0
2009-01-05,1.3884,1.3945,1.3531,1.3558,0
2009-01-06,1.3556,1.3568,1.3314,1.3518,0
2009-01-07,1.3517,1.3749,1.3465,1.3635,0
2009-01-08,1.3634,1.3801,1.3536,1.365,0
2009-01-09,1.3649,1.3754,1.3417,1.3479,0
2009-01-11,1.3482,1.3482,1.3375,1.339,0
2009-01-12,1.3391,1.3447,1.3292,1.3332,0
2009-01-13,1.3331,1.3334,1.3142,1.326,0
2009-01-14,1.3259,1.3338,1.3095,1.3181,0
2009-01-15,1.3182,1.3256,1.3028,1.3223,0
2009-01-16,1.3222,1.3346,1.3189,1.3268,0
2009-01-18,1.3343,1.3388,1.3315,1.3346,0
2009-01-19,1.3347,1.3365,1.2981,1.2998,0
2009-01-20,1.2997,1.3033,1.2847,1.2971,0
2009-01-21,1.2972,1.3088,1.2826,1.304,0
2009-01-22,1.3041,1.3085,1.291,1.2943,0
2009-01-23,1.2944,1.3037,1.2766,1.2973,0
2009-01-25,1.297,1.2971,1.2863,1.2946,0
2009-01-26,1.2948,1.3261,1.2875,1.3214,0
2009-01-27,1.3215,1.3331,1.3121,1.3266,0
2009-01-28,1.3267,1.3328,1.3084,1.3124,0
2009-01-29,1.3126,1.3181,1.2875,1.2893,0
2009-01-30,1.2894,1.2928,1.2765,1.2815,0
2009-02-01,1.2774,1.2788,1.2713,1.2723,0
2009-02-02,1.2724,1.2916,1.2708,1.2877,0
2009-02-03,1.2878,1.306,1.2804,1.301,0
2009-02-04,1.3009,1.3073,1.2801,1.2839,0
2009-02-05,1.2838,1.2907,1.2763,1.2787,0
2009-02-06,1.2786,1.2995,1.2749,1.2946,0
2009-02-08,1.297,1.2994,1.2914,1.2956,0
2009-02-09,1.2955,1.3095,1.2812,1.2824,0
2009-02-10,1.2823,1.3076,1.282,1.2893,0
2009-02-11,1.2892,1.2999,1.2836,1.2913,0
2009-02-12,1.2912,1.2946,1.2724,1.2929,0
2009-02-13,1.293,1.2941,1.2823,1.2864,0
2009-02-15,1.2785,1.281,1.2754,1.2767,0
2009-02-16,1.2766,1.2827,1.2634,1.2649,0
2009-02-17,1.2649,1.2676,1.256,1.2596,0
2009-02-18,1.2597,1.2642,1.2515,1.2585,0
2009-02-19,1.2584,1.2762,1.2572,1.2594,0
2009-02-20,1.2593,1.2885,1.256,1.283,0
2009-02-22,1.281,1.2949,1.278,1.2906,0
2009-02-23,1.2908,1.2993,1.2664,1.2728,0
2009-02-24,1.2727,1.288,1.2702,1.2832,0
2009-02-25,1.2833,1.2901,1.2692,1.2737,0
2009-02-26,1.2736,1.2812,1.2684,1.2735,0
2009-02-27,1.2734,1.2752,1.2605,1.2674,0
2009-03-01,1.2635,1.2639,1.2547,1.257,0
2009-03-02,1.2576,1.2641,1.254,1.2619,0
2009-03-03,1.2618,1.268,1.2458,1.2488,0
2009-03-04,1.2487,1.2665,1.2487,1.2618,0
2009-03-05,1.2619,1.2624,1.2483,1.258,0
2009-03-06,1.2581,1.2756,1.2572,1.2654,0
2009-03-08,1.2657,1.2729,1.2657,1.2675,0
2009-03-09,1.2675,1.2682,1.2558,1.2678,0
2009-03-10,1.2678,1.2824,1.2613,1.267,0
2009-03-11,1.2669,1.2873,1.2619,1.2831,0
2009-03-12,1.2832,1.2947,1.2734,1.2929,0
2009-03-13,1.2928,1.2959,1.2865,1.2931,0
2009-03-15,1.2883,1.2925,1.2836,1.2895,0
2009-03-16,1.2895,1.3073,1.2885,1.3006,0
2009-03-17,1.3005,1.3059,1.2933,1.3048,0
2009-03-18,1.3047,1.3537,1.2988,1.3457,0
2009-03-19,1.3456,1.374,1.342,1.366,0
2009-03-20,1.3659,1.3728,1.3519,1.3584,0
2009-03-22,1.3627,1.3686,1.3614,1.3667,0
2009-03-23,1.3668,1.3738,1.3487,1.3654,0
2009-03-24,1.3655,1.368,1.3433,1.3488,0
2009-03-25,1.3489,1.3653,1.342,1.357,0
2009-03-26,1.3569,1.3642,1.3496,1.3569,0
2009-03-27,1.3569,1.3593,1.3259,1.3291,0
2009-03-29,1.3231,1.3288,1.3215,1.3274,0
2009-03-30,1.3275,1.3276,1.3115,1.3259,0
2009-03-31,1.3258,1.3345,1.3175,1.3211,0
2009-04-01,1.3212,1.3296,1.3168,1.3275,0
2009-04-02,1.3275,1.3519,1.3253,1.3443,0
2009-04-03,1.3445,1.3496,1.3367,1.3487,0
2009-04-05,1.3505,1.3584,1.3503,1.3573,0
2009-04-06,1.3573,1.358,1.3324,1.3365,0
2009-04-07,1.3366,1.34,1.3179,1.3201,0
2009-04-08,1.3202,1.3312,1.315,1.3265,0
2009-04-09,1.3266,1.3338,1.3092,1.3138,0
2009-04-10,1.3137,1.3191,1.3113,1.3191,0
2009-04-12,1.3192,1.3198,1.3128,1.3167,0
2009-04-13,1.3167,1.3396,1.3166,1.3331,0
2009-04-14,1.3332,1.337,1.3222,1.3247,0
2009-04-15,1.3247,1.33,1.3149,1.3219,0
2009-04-16,1.322,1.3234,1.3104,1.3121,0
2009-04-17,1.3122,1.3126,1.3018,1.3045,0
2009-04-19,1.3064,1.3064,1.2968,1.3004,0
2009-04-20,1.3003,1.302,1.289,1.2939,0
2009-04-21,1.2938,1.2996,1.29,1.2928,0
2009-04-22,1.2927,1.3041,1.2887,1.3,0
2009-04-23,1.3001,1.3164,1.2998,1.3149,0
2009-04-24,1.315,1.3303,1.3139,1.3244,0
2009-04-26,1.3249,1.3251,1.3158,1.3168,0
2009-04-27,1.3169,1.3184,1.2998,1.3025,0
2009-04-28,1.3024,1.3199,1.2967,1.3189,0
2009-04-29,1.3188,1.3345,1.3171,1.3313,0
2009-04-30,1.3313,1.3388,1.3194,1.3256,0
2009-05-01,1.3256,1.333,1.3229,1.3272,0
2009-05-03,1.3277,1.3348,1.3268,1.3324,0
2009-05-04,1.3324,1.344,1.3215,1.3372,0
2009-05-05,1.3371,1.3438,1.3248,1.3276,0
2009-05-06,1.3275,1.3376,1.3249,1.3287,0
2009-05-07,1.3286,1.3472,1.3254,1.3376,0
2009-05-08,1.3376,1.3654,1.3365,1.3642,0
2009-05-10,1.3648,1.3671,1.3618,1.3658,0
2009-05-11,1.3657,1.3668,1.356,1.3601,0
2009-05-12,1.3602,1.3724,1.3588,1.3691,0
2009-05-13,1.3692,1.3718,1.3527,1.3555,0
2009-05-14,1.3556,1.3667,1.3533,1.3638,0
2009-05-15,1.3638,1.3646,1.3464,1.3496,0
2009-05-17,1.3482,1.3493,1.3426,1.3442,0
2009-05-18,1.3443,1.3573,1.3434,1.3572,0
2009-05-19,1.3573,1.367,1.354,1.3618,0
2009-05-20,1.3617,1.3832,1.3586,1.3793,0
2009-05-21,1.3791,1.3957,1.373,1.3931,0
2009-05-22,1.3932,1.4053,1.3901,1.4001,0
2009-05-24,1.4017,1.4047,1.3975,1.3987,0
2009-05-25,1.3989,1.4028,1.3944,1.3972,0
2009-05-26,1.3971,1.4005,1.386,1.3977,0
2009-05-27,1.3978,1.3995,1.3815,1.3819,0
2009-05-28,1.3818,1.3998,1.3793,1.3984,0
2009-05-29,1.3983,1.4169,1.3971,1.416,0
2009-05-31,1.4145,1.4165,1.4099,1.4144,0
2009-06-01,1.4143,1.4246,1.4114,1.4169,0
2009-06-02,1.4168,1.4331,1.4102,1.4305,0
2009-06-03,1.4304,1.4338,1.4109,1.4168,0
2009-06-04,1.4167,1.4241,1.407,1.4201,0
2009-06-05,1.42,1.4268,1.3933,1.397,0
2009-06-07,1.3969,1.4002,1.3926,1.3983,0
2009-06-08,1.3982,1.3996,1.3805,1.3871,0
2009-06-09,1.3872,1.4101,1.3852,1.4074,0
2009-06-10,1.4073,1.4144,1.3915,1.4028,0
2009-06-11,1.4027,1.4178,1.3943,1.4098,0
2009-06-12,1.4099,1.4116,1.3936,1.4016,0
2009-06-14,1.3996,1.4002,1.3947,1.3956,0
2009-06-15,1.3955,1.3963,1.3748,1.38,0
2009-06-16,1.38,1.3933,1.3793,1.3866,0
2009-06-17,1.3865,1.3985,1.3823,1.3958,0
2009-06-18,1.3959,1.4001,1.3871,1.392,0
